index  r co          x co          y co          z co          spee          v co          w co          u co          Ener          
0      4.2754        0.8628        -4.0889       0.9031        0.1786        0.1484        -0.0958       -0.0262       -0.3766       
1      2.1593        -1.4878       -1.5620       0.0976        0.4328        -0.0928       -0.3915       0.1596        -0.5166       
2      2.5262        1.4325        1.7676        -1.0979       0.6813        0.4437        0.3503        0.3802        -0.1658       
3      3.7932        -2.2406       1.6076        2.6046        0.1236        0.0079        -0.1234       0.0016        -0.4384       
4      2.0034        -1.1186       -0.9571       -1.3587       0.6376        0.2002        -0.6029       -0.0548       -0.3330       
5      3.4508        0.4300        -3.4189       -0.1846       0.2810        -0.1079       -0.1729       0.1934        -0.4129       
6      0.6775        -0.2933       -0.0483       -0.6089       0.5232        0.0385        0.5023        -0.1414       -0.8507       
7      0.6510        0.5453        -0.1018       0.3407        0.4012        -0.3877       0.1001        0.0250        -0.9709       
8      2.0019        -1.8489       -0.3721       -0.6715       0.8770        -0.5938       -0.4184       -0.4914       0.0293        
9      1.5014        0.7009        1.2019        -0.5641       0.5812        0.3829        -0.3827       -0.2116       -0.5342       
10     1.1601        -0.4222       0.5784        -0.9127       0.8224        0.2124        -0.5900       -0.5322       -0.2996       
11     6.4471        2.4986        -5.7972       1.3096        0.3608        -0.0755       -0.3249       0.1375        -0.1494       
12     0.9339        -0.3823       -0.4685       -0.7118       0.6252        -0.5477       0.2738        0.1261        -0.6565       
13     1.3720        0.2041        1.3490        0.1453        0.2531        0.1259        -0.0286       -0.2176       -0.8464       
14     0.9970        0.4621        0.3500        -0.8112       0.5493        0.5098        0.1443        -0.1452       -0.7258       
15     1.1690        0.0404        1.1514        -0.1975       0.2458        -0.1963       -0.1464       -0.0215       -0.9128       
16     2.6361        -0.5992       -0.7193       -2.4643       0.8393        -0.0726       0.6128        -0.5688       0.0942        
17     0.7097        0.1017        0.3474        0.6105        0.6891        -0.6813       -0.1011       0.0239        -0.6404       
18     0.6032        0.4398        -0.0000       0.4128        0.1094        -0.0324       -0.0926       -0.0485       -1.1327       
19     1.0272        -0.5900       0.4776        0.6921        0.5124        0.1485        -0.0814       -0.4836       -0.7555       
20     2.8152        -1.6549       -0.3244       2.2542        0.6775        -0.5098       -0.3358       0.2939        -0.1212       
21     6.5117        2.1119        -3.7829       -4.8613       0.4963        -0.3221       0.3336        0.1771        -0.0306       
22     5.2498        -1.6494       -2.2614       4.4414        0.2609        0.0989        0.1401        0.1966        -0.2709       
23     2.5129        -1.2188       -1.7029       1.3888        0.3149        0.1849        -0.1381       0.2143        -0.5332       
24     1.8594        1.7166        -0.6263       -0.3441       0.5613        0.1613        -0.3903       -0.3697       -0.4597       
25     0.2242        -0.1736       -0.1236       0.0695        1.0552        0.9923        0.0381        -0.3569       -0.1067       
26     2.9761        -1.6580       -1.5931       1.8895        0.6720        -0.3301       0.4239        -0.4036       -0.1038       
27     2.4834        -1.0416       1.9414        -1.1460       0.8363        -0.4140       -0.7041       -0.1799       0.0616        
28     2.6175        -2.2410       -0.4632       1.2707        0.4005        -0.3407       -0.0747       -0.1970       -0.4530       
29     1.3212        -0.2632       1.0702        -0.7287       0.4486        0.0025        -0.4345       0.1113        -0.7246       
30     4.0879        1.4572        3.5622        1.3778        0.6445        0.3990        -0.2395       -0.4459       -0.0096       
31     3.4784        1.3942        -0.8096       -3.0822       0.4924        0.3594        0.3321        -0.0544       -0.2461       
32     4.6997        -4.5772       1.0636        0.0714        0.2521        -0.2321       -0.0929       -0.0330       -0.3116       
33     0.9086        -0.8880       0.0423        -0.1874       0.2589        0.1787        0.0008        0.1873        -0.9883       
34     0.9061        -0.3941       0.7758        0.2529        0.4868        -0.2917       -0.1546       -0.3577       -0.8191       
35     1.2407        0.7982        0.3913        0.8654        0.5014        0.2558        0.1691        0.3967        -0.6994       
36     1.7177        -0.7354       -0.4261       -1.4926       0.7971        -0.2289       0.4658        -0.6050       -0.1762       
37     1.7142        -1.0147       0.7933        -1.1311       0.3115        -0.2117       -0.1429       -0.1782       -0.7155       
38     14.8283       11.2235       -8.4202       4.7972        0.3593        -0.0304       0.0366        0.3562        0.0049        
39     2.9476        -2.3726       0.3927        1.7044        0.8559        0.1246        0.7678        0.3573        0.1731        
40     1.8141        -0.5342       -1.4025       -1.0190       0.5550        -0.2589       -0.0995       -0.4807       -0.4783       
41     2.0660        -1.3117       1.5472        -0.3927       0.5738        -0.0902       -0.1259       -0.5525       -0.3956       
42     2.4433        0.2458        2.3850        -0.4701       0.9429        -0.2595       0.7565        0.4994        0.2435        
43     0.9971        0.1528        0.9846        0.0364        0.9449        -0.8133       0.4583        0.1459        -0.1347       
44     2.4775        -0.6554       1.7131        -1.6654       0.2499        0.1549        -0.0562       0.1878        -0.5766       
45     2.7383        -0.4310       -2.2188       -1.5458       0.3437        0.1906        0.1849        -0.2182       -0.4746       
46     2.0772        -1.4123       -0.5124       1.4344        0.4593        0.4034        -0.2181       -0.0265       -0.5113       
47     2.5988        2.2617        -1.2509       -0.2719       0.7751        0.0280        -0.2261       0.7408        -0.0160       
48     2.0776        -1.1094       -1.0216       -1.4290       0.7724        0.5767        0.1534        -0.4904       -0.1256       
49     3.0234        -1.0560       -2.1664       -1.8255       0.1601        -0.0718       0.1397        -0.0307       -0.5227       
50     1.0473        -0.3125       -0.9680       -0.2492       0.8077        0.1145        0.7985        -0.0414       -0.3593       
51     1.2478        0.7419        -0.9254       -0.3878       0.8998        0.5287        -0.6929       0.2238        -0.1388       
52     0.9614        0.4576        -0.8455       -0.0067       0.7890        0.3937        -0.6825       0.0419        -0.4162       
53     6.5682        5.9700        -2.6541       -0.6758       0.3665        -0.1668       -0.3218       0.0538        -0.1404       
54     3.9133        -2.1158       -3.2079       -0.7396       0.5537        -0.4674       -0.2872       0.0753        -0.1350       
55     3.6889        -2.5736       -1.9803       1.7501        0.4537        -0.2744       -0.2681       0.2422        -0.2589       
56     4.8729        -3.9235       2.4049        -1.6024       0.5214        -0.1197       -0.1518       -0.4843       -0.0911       
57     0.9359        0.9044        0.1900        -0.1479       0.7384        0.3807        -0.4642       -0.4299       -0.5015       
58     2.5361        1.5600        1.9848        0.2428        0.4630        0.0498        0.0863        0.4521        -0.4138       
59     3.0144        1.1487        -2.7513       -0.4445       0.6109        -0.0185       0.0277        0.6100        -0.1764       
60     0.6328        -0.2103       -0.2567       0.5388        0.9006        -0.5445       0.5047        -0.5098       -0.3257       
61     6.4265        -5.4989       1.3073        -3.0582       0.3284        -0.0440       -0.2974       0.1324        -0.1726       
62     5.5331        -2.3450       4.0478        -2.9548       0.4313        -0.1336       0.0194        0.4096        -0.1368       
63     1.8418        1.1533        -0.2405       -1.4156       0.4142        -0.1379       -0.0504       -0.3873       -0.6075       
64     2.4589        -1.9147       0.2669        1.5195        0.4082        0.2190        -0.3401       0.0552        -0.4759       
65     2.3849        1.2556        1.0358        -1.7430       0.4282        -0.2252       -0.1255       -0.3419       -0.4736       
66     2.7498        2.5158        0.9753        -0.5298       0.6097        0.0620        0.3138        0.5190        -0.2191       
67     1.4727        0.2478        -0.1288       1.4459        0.6472        -0.1330       -0.1799       0.6073        -0.4616       
68     0.9562        0.6427        -0.5870       0.3961        0.4072        -0.2332       0.2419        -0.2300       -0.8746       
69     1.0156        0.0950        0.6689        0.7583        0.2299        -0.1842       0.0175        -0.1364       -0.9688       
70     6.0814        -2.7591       -2.4088       4.8547        0.3816        0.3472        0.1579        0.0129        -0.1498       
71     5.9746        2.1555        5.5159        -0.7906       0.5424        -0.2711       -0.4224       -0.2057       -0.0062       
72     1.4660        0.0670        -0.6365       1.3189        0.6328        -0.0549       -0.5392       -0.3266       -0.4819       
73     2.2765        0.3135        1.9984        -1.0445       0.6271        0.2591        -0.5412       -0.1822       -0.2856       
74     1.0970        -0.8906       0.6387        -0.0496       0.9105        -0.7728       0.4206        -0.2341       -0.1669       
75     1.4421        0.0685        -1.1820       0.8234        0.4288        -0.3495       -0.0230       0.2473        -0.7056       
76     1.2173        0.9523        0.4720        0.5935        0.7120        -0.1345       -0.1587       -0.6810       -0.4511       
77     4.0058        -0.1322       -1.5839       -3.6770       0.3200        0.0196        0.2919        0.1297        -0.3303       
78     0.2617        -0.0696       0.2522        0.0067        0.7911        0.3961        0.6673        0.1540        -0.5896       
79     1.9004        0.9736        0.2722        -1.6092       0.5885        0.0215        -0.3266       0.4891        -0.4181       
80     2.2609        -0.0785       -1.9906       -1.0693       0.3238        -0.1561       -0.2834       0.0107        -0.5773       
81     0.7749        0.1189        -0.1743       -0.7456       0.5057        0.2018        0.0440        -0.4616       -0.8404       
82     2.6223        -1.9812       -1.4488       0.9231        0.1439        0.1058        0.0351        0.0910        -0.5919       
83     2.6544        1.2370        -1.1517       2.0467        0.6418        -0.1091       -0.2160       -0.5944       -0.1952       
84     1.3854        0.0732        -0.6370       -1.2281       0.1644        0.0972        -0.0049       -0.1325       -0.8794       
85     1.1130        0.5927        0.9361        0.1054        0.4339        -0.0516       0.4292        -0.0376       -0.8026       
86     0.8698        0.7487        0.4376        0.0662        0.8711        -0.1956       -0.3490       -0.7737       -0.3086       
87     1.6545        -1.1169       -0.5930       -1.0669       0.4916        0.2519        -0.3028       -0.2942       -0.5870       
88     3.2398        0.9385        -1.3042       -2.8134       0.6468        -0.0094       -0.1613       -0.6263       -0.1001       
89     2.2618        2.0877        0.3911        -0.7773       0.1623        -0.1269       0.0987        0.0221        -0.6556       
90     4.3399        1.5423        3.5049        -2.0425       0.5986        -0.2373       0.4722        0.2811        -0.0447       
91     0.7935        -0.1010       0.7864        0.0321        0.2950        -0.0915       -0.0930       0.2646        -1.0036       
92     1.1410        0.2030        -1.1227       -0.0158       0.4129        -0.2822       -0.1193       0.2767        -0.8115       
93     1.1705        -0.7544       -0.7969       -0.4073       1.0786        -0.7143       -0.1950       -0.7842       0.1906        
94     3.3811        -0.6042       2.7610        -1.8558       0.1728        0.0581        0.0485        -0.1553       -0.4705       
95     1.5721        1.2114        0.8881        -0.4638       0.7930        -0.6274       -0.4850       -0.0011       -0.2229       
96     1.6310        -1.2376       0.9695        0.4345        0.5586        0.1281        -0.1953       -0.5074       -0.5232       
97     1.8599        0.2708        1.6703        0.7721        0.3748        0.0404        -0.1870       -0.3223       -0.6340       
98     1.9080        0.9507        -1.1660       1.1735        0.2279        0.1323        -0.1827       -0.0329       -0.7106       
99     3.8457        -1.4029       -3.3884       -1.1575       0.1661        -0.0645       -0.1527       0.0102        -0.4208       
100    0.8283        0.1520        0.5521        -0.5985       0.9817        -0.4633       -0.6450       0.5770        -0.1164       
101    2.9748        1.0154        2.7387        0.5636        0.7101        -0.1372       0.2170        -0.6620       -0.0513       
102    1.8125        -0.3571       -1.7026       -0.5088       0.5771        0.0874        0.5703        -0.0103       -0.4536       
